Entry,Catalyst,Catalyst dim1,Catalyst dim2,Solvent,Solvent dim1,Solvent dim2,Cosolvent,Ratio (cosolvent : solvent),Additives,temp in degree celsius,additive loading mol%,cat. loading mol%,time in min,yield
86,O=P(O)(O)O (85% wt.in H2O),-9.726330375,-2.282980298,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,[H]O[H],21,nil,10,4,3
87,O=P(O)(O)O (85% wt.in H2O),-9.726330375,-2.282980298,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,[H]O[H],21,nil,10,8,traces
88,O=Cl(=O)(O)=O (70% wt.in H2O),-10.56661578,-1.999754703,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,[H]O[H],21,96.07843137,10,2,1
89,O=Cl(=O)(O)=O (70% wt.in H2O),-10.56661578,-1.999754703,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,[H]O[H],21,96.07843137,10,4,2
90,O=Cl(=O)(O)=O (70% wt.in H2O),-10.56661578,-1.999754703,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,[H]O[H],21,96.07843137,10,8,traces
91,[H]Cl (4N in dioxane),-15.47607492,9.532018559,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,2,3
92,[H]Cl (4N in dioxane),-15.47607492,9.532018559,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,4,traces
93,[H]Cl (4N in dioxane),-15.47607492,9.532018559,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,8,traces
94,[H]Cl (37% wt. in H2O),-15.47607492,9.532018559,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,2,11
95,[H]Cl (37% wt. in H2O),-15.47607492,9.532018559,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,4,traces
96,[H]Cl (37% wt. in H2O),-15.47607492,9.532018559,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,8,traces
97,[H]Br (48% wt.in H2O),-15.32738299,12.92242302,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,2,1
98,[H]Br (48% wt.in H2O),-15.32738299,12.92242302,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,4,2
99,[H]Br (48% wt.in H2O),-15.32738299,12.92242302,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,8,1
100,[H]Br (5-10% wt. in methanol),-15.32738299,12.92242302,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,2,traces
101,[H]Br (5-10% wt. in methanol),-15.32738299,12.92242302,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,4,1
102,[H]Br (5-10% wt. in methanol),-15.32738299,12.92242302,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,8,1
103,[H]I (57% wt.in H2O),-15.28352721,18.41879702,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,2,traces
104,[H]I (57% wt.in H2O),-15.28352721,18.41879702,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,4,3
105,[H]I (57% wt.in H2O),-15.28352721,18.41879702,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,8,3
106,F[P-](F)(F)(F)(F)F.[H+] (60% wt.in H2O),-10.41879393,-11.9337859,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,2,2
107,F[P-](F)(F)(F)(F)F.[H+] (60% wt.in H2O),-10.41879393,-11.9337859,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,4,2
108,F[P-](F)(F)(F)(F)F.[H+] (60% wt.in H2O),-10.41879393,-11.9337859,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,8,2
109,F[B-](F)(F)F.[H+] (48% wt.in H2O),-12.19551831,-6.235211426,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,2,nil
110,F[B-](F)(F)F.[H+] (48% wt.in H2O),-12.19551831,-6.235211426,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,4,nil
111,F[B-](F)(F)F.[H+] (48% wt.in H2O),-12.19551831,-6.235211426,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,8,nil
112,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClCCCl,-10.63325778,-3.323315924,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,2,25
113,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClCCCl,-10.63325778,-3.323315924,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,4,23
114,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClCCCl,-10.63325778,-3.323315924,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,8,25
115,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClCCl,-10.63325778,-3.323315924,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,2,26
116,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClCCl,-10.63325778,-3.323315924,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,4,28
117,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClCCl,-10.63325778,-3.323315924,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,8,28
118,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,CCC(C)(O)C,-1.818920731,6.442409975,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,2,nil
119,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,CCC(C)(O)C,-1.818920731,6.442409975,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,4,nil
