Catalyst dim1,Catalyst dim2,Solvent dim1,Solvent dim2,Cosolvent dim1,Cosolvent dim2,Ratio (cosolvent : solvent),additive dim1,additive dim2,temp in degree celsius,cat. loading mol%,time in hours,yield
1.08309219,0.60956586,-1.73588194,6.56938867,14.36486742,-1.75190403,0.5,0,0,21,10,4,0
1.08309219,0.60956586,-1.73588194,6.56938867,14.36486742,-1.75190403,0.5,0,0,21,10,8,0
1.08309219,0.60956586,-0.34949773,13.1753377,14.36486742,-1.75190403,0.5,0,0,21,10,2,27
1.08309219,0.60956586,-0.34949773,13.1753377,14.36486742,-1.75190403,0.5,0,0,21,10,4,29
1.08309219,0.60956586,-0.34949773,13.1753377,14.36486742,-1.75190403,0.5,0,0,21,10,8,27
1.08309219,0.60956586,7.7513066,20.24748829,14.36486742,-1.75190403,0.5,0,0,21,10,2,37
1.08309219,0.60956586,7.7513066,20.24748829,14.36486742,-1.75190403,0.5,0,0,21,10,4,27
1.08309219,0.60956586,7.7513066,20.24748829,14.36486742,-1.75190403,0.5,0,0,21,10,8,27
1.08309219,0.60956586,9.98118641,7.58220699,14.36486742,-1.75190403,0.5,0,0,21,10,2,23
1.08309219,0.60956586,9.98118641,7.58220699,14.36486742,-1.75190403,0.5,0,0,21,10,4,25
1.08309219,0.60956586,9.98118641,7.58220699,14.36486742,-1.75190403,0.5,0,0,21,10,8,26
1.08309219,0.60956586,17.0124503,0.29992695,14.36486742,-1.75190403,0.5,0,0,21,10,2,23
1.08309219,0.60956586,17.0124503,0.29992695,14.36486742,-1.75190403,0.5,0,0,21,10,4,23
1.08309219,0.60956586,17.0124503,0.29992695,14.36486742,-1.75190403,0.5,0,0,21,10,8,24
1.08309219,0.60956586,51.03645094,-17.42071146,14.36486742,-1.75190403,0.5,0,0,21,10,2,13
1.08309219,0.60956586,51.03645094,-17.42071146,14.36486742,-1.75190403,0.5,0,0,21,10,4,20
1.08309219,0.60956586,51.03645094,-17.42071146,14.36486742,-1.75190403,0.5,0,0,21,10,8,18
1.08309219,0.60956586,-12.01282417,-2.89343858,14.36486742,-1.75190403,0.5,0,0,21,10,2,24
1.08309219,0.60956586,-12.01282417,-2.89343858,14.36486742,-1.75190403,0.5,0,0,21,10,4,20
1.08309219,0.60956586,-12.01282417,-2.89343858,14.36486742,-1.75190403,0.5,0,0,21,10,8,17
1.08309219,0.60956586,-25.75793561,-16.40181168,14.36486742,-1.75190403,0.5,0,0,21,10,2,0
1.08309219,0.60956586,-25.75793561,-16.40181168,14.36486742,-1.75190403,0.5,0,0,21,10,4,0
1.08309219,0.60956586,-25.75793561,-16.40181168,14.36486742,-1.75190403,0.5,0,0,21,10,8,0
1.08309219,0.60956586,-6.39825692,5.04607569,14.36486742,-1.75190403,0.5,0,0,21,10,2,0
1.08309219,0.60956586,-6.39825692,5.04607569,14.36486742,-1.75190403,0.5,0,0,21,10,4,0
1.08309219,0.60956586,-6.39825692,5.04607569,14.36486742,-1.75190403,0.5,0,0,21,10,8,0
1.08309219,0.60956586,-2.948303,4.21769316,14.36486742,-1.75190403,0.5,0,0,21,10,2,0
1.08309219,0.60956586,-2.948303,4.21769316,14.36486742,-1.75190403,0.5,0,0,21,10,4,0
1.08309219,0.60956586,-2.948303,4.21769316,14.36486742,-1.75190403,0.5,0,0,21,10,8,0
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,0.5,2,0
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,0.5,4,3
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,0.5,8,3
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,0.5,24,11
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,1,2,5
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,1,4,10
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,1,8,16
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,1,24,23
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,2,2,25
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,2,4,27
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,2,8,29
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,2,24,22
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,25,2,27
