Entry,Catalyst,Catalyst dim1,Catalyst dim2,Solvent,Solvent dim1,Solvent dim2,Cosolvent,Cosolvent dim1,Cosolvent dim2,Ratio (cosolvent : solvent),Additives,additive dim1,additive dim2,temp in degree celsius,additive loading mol%,cat. loading mol%,time in min,yield
75,OC1=C(F)C(F)=C(F)C(F)=C1F,-1.423457785,-2.322835123,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,0,0,21,nil,10,8,nil
76,O=P(OC1=CC=CC=C1)(OC2=CC=CC=C2)O,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,-13.91750442,-7.753291406,21,nil,10,2,19
77,O=P(OC1=CC=CC=C1)(OC2=CC=CC=C2)O,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,-13.91750442,-7.753291406,21,nil,10,4,20
78,O=P(OC1=CC=CC=C1)(OC2=CC=CC=C2)O,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,-13.91750442,-7.753291406,21,nil,10,8,16
79,O=P(OC1=CC=C2C(C=CC=C2)=C31)(O)OC4=C3C(C=CC=C5)=C5C=C4,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,-13.91750442,-7.753291406,21,nil,10,2,16
80,O=P(OC1=CC=C2C(C=CC=C2)=C31)(O)OC4=C3C(C=CC=C5)=C5C=C4,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,-13.91750442,-7.753291406,21,nil,10,4,16
81,O=P(OC1=CC=C2C(C=CC=C2)=C31)(O)OC4=C3C(C=CC=C5)=C5C=C4,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,-13.91750442,-7.753291406,21,nil,10,8,13
82,O=P(O)(O)O crystals,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,-4.985562736,-9.876766499,21,nil,10,2,1
83,O=P(O)(O)O crystals,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,-4.985562736,-9.876766499,21,nil,10,4,8
84,O=P(O)(O)O crystals,,,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,-4.985562736,-9.876766499,21,nil,10,8,12
